"sigma","tpr","fpr","noise","freq","nr_transition_days","window_size_days","nr_baselinedays","ews"
0.25,0.932,0.746,4,9,10,10,25,"Autocorrelation"
0.5,0.91,0.656,4,9,10,10,25,"Autocorrelation"
0.75,0.89,0.6,4,9,10,10,25,"Autocorrelation"
1,0.852,0.53,4,9,10,10,25,"Autocorrelation"
1.25,0.816,0.44,4,9,10,10,25,"Autocorrelation"
1.5,0.748,0.33,4,9,10,10,25,"Autocorrelation"
1.75,0.668,0.27,4,9,10,10,25,"Autocorrelation"
2,0.6,0.22,4,9,10,10,25,"Autocorrelation"
2.25,0.53,0.158,4,9,10,10,25,"Autocorrelation"
2.5,0.476,0.124,4,9,10,10,25,"Autocorrelation"
2.75,0.408,0.092,4,9,10,10,25,"Autocorrelation"
3,0.366,0.078,4,9,10,10,25,"Autocorrelation"
3.25,0.308,0.062,4,9,10,10,25,"Autocorrelation"
3.5,0.276,0.044,4,9,10,10,25,"Autocorrelation"
3.75,0.246,0.036,4,9,10,10,25,"Autocorrelation"
4,0.208,0.026,4,9,10,10,25,"Autocorrelation"
4.25,0.17,0.014,4,9,10,10,25,"Autocorrelation"
4.5,0.156,0.014,4,9,10,10,25,"Autocorrelation"
4.75,0.14,0.008,4,9,10,10,25,"Autocorrelation"
5,0.126,0.004,4,9,10,10,25,"Autocorrelation"
5.25,0.106,0.004,4,9,10,10,25,"Autocorrelation"
5.5,0.088,0.004,4,9,10,10,25,"Autocorrelation"
5.75,0.07,0.004,4,9,10,10,25,"Autocorrelation"
6,0.054,0.004,4,9,10,10,25,"Autocorrelation"
0.25,0.782,0.692,6,9,10,10,25,"Autocorrelation"
0.5,0.744,0.632,6,9,10,10,25,"Autocorrelation"
0.75,0.7,0.584,6,9,10,10,25,"Autocorrelation"
1,0.634,0.496,6,9,10,10,25,"Autocorrelation"
1.25,0.552,0.428,6,9,10,10,25,"Autocorrelation"
1.5,0.496,0.36,6,9,10,10,25,"Autocorrelation"
1.75,0.426,0.292,6,9,10,10,25,"Autocorrelation"
2,0.362,0.23,6,9,10,10,25,"Autocorrelation"
2.25,0.318,0.172,6,9,10,10,25,"Autocorrelation"
2.5,0.276,0.13,6,9,10,10,25,"Autocorrelation"
2.75,0.244,0.094,6,9,10,10,25,"Autocorrelation"
3,0.202,0.074,6,9,10,10,25,"Autocorrelation"
3.25,0.162,0.06,6,9,10,10,25,"Autocorrelation"
3.5,0.124,0.046,6,9,10,10,25,"Autocorrelation"
3.75,0.11,0.034,6,9,10,10,25,"Autocorrelation"
4,0.096,0.024,6,9,10,10,25,"Autocorrelation"
4.25,0.086,0.018,6,9,10,10,25,"Autocorrelation"
4.5,0.072,0.014,6,9,10,10,25,"Autocorrelation"
4.75,0.056,0.012,6,9,10,10,25,"Autocorrelation"
5,0.046,0.008,6,9,10,10,25,"Autocorrelation"
5.25,0.036,0.006,6,9,10,10,25,"Autocorrelation"
5.5,0.026,0.004,6,9,10,10,25,"Autocorrelation"
5.75,0.02,0.002,6,9,10,10,25,"Autocorrelation"
6,0.02,0.002,6,9,10,10,25,"Autocorrelation"
0.25,0.79,0.72,8,9,10,10,25,"Autocorrelation"
0.5,0.736,0.66,8,9,10,10,25,"Autocorrelation"
0.75,0.662,0.584,8,9,10,10,25,"Autocorrelation"
1,0.584,0.506,8,9,10,10,25,"Autocorrelation"
1.25,0.504,0.426,8,9,10,10,25,"Autocorrelation"
1.5,0.436,0.352,8,9,10,10,25,"Autocorrelation"
1.75,0.37,0.286,8,9,10,10,25,"Autocorrelation"
2,0.298,0.21,8,9,10,10,25,"Autocorrelation"
2.25,0.254,0.142,8,9,10,10,25,"Autocorrelation"
2.5,0.202,0.104,8,9,10,10,25,"Autocorrelation"
2.75,0.168,0.084,8,9,10,10,25,"Autocorrelation"
3,0.126,0.066,8,9,10,10,25,"Autocorrelation"
3.25,0.092,0.048,8,9,10,10,25,"Autocorrelation"
3.5,0.066,0.034,8,9,10,10,25,"Autocorrelation"
3.75,0.056,0.018,8,9,10,10,25,"Autocorrelation"
4,0.048,0.012,8,9,10,10,25,"Autocorrelation"
4.25,0.044,0.01,8,9,10,10,25,"Autocorrelation"
4.5,0.038,0.004,8,9,10,10,25,"Autocorrelation"
4.75,0.032,0,8,9,10,10,25,"Autocorrelation"
5,0.026,0,8,9,10,10,25,"Autocorrelation"
5.25,0.022,0,8,9,10,10,25,"Autocorrelation"
5.5,0.016,0,8,9,10,10,25,"Autocorrelation"
5.75,0.01,0,8,9,10,10,25,"Autocorrelation"
6,0.008,0,8,9,10,10,25,"Autocorrelation"
0.25,0.722,0.724,10,9,10,10,25,"Autocorrelation"
0.5,0.686,0.662,10,9,10,10,25,"Autocorrelation"
0.75,0.61,0.584,10,9,10,10,25,"Autocorrelation"
1,0.532,0.514,10,9,10,10,25,"Autocorrelation"
1.25,0.456,0.432,10,9,10,10,25,"Autocorrelation"
1.5,0.4,0.348,10,9,10,10,25,"Autocorrelation"
1.75,0.338,0.292,10,9,10,10,25,"Autocorrelation"
2,0.264,0.232,10,9,10,10,25,"Autocorrelation"
2.25,0.22,0.174,10,9,10,10,25,"Autocorrelation"
2.5,0.188,0.138,10,9,10,10,25,"Autocorrelation"
2.75,0.156,0.086,10,9,10,10,25,"Autocorrelation"
3,0.126,0.056,10,9,10,10,25,"Autocorrelation"
3.25,0.106,0.038,10,9,10,10,25,"Autocorrelation"
3.5,0.072,0.032,10,9,10,10,25,"Autocorrelation"
3.75,0.054,0.03,10,9,10,10,25,"Autocorrelation"
4,0.034,0.028,10,9,10,10,25,"Autocorrelation"
4.25,0.024,0.02,10,9,10,10,25,"Autocorrelation"
4.5,0.02,0.018,10,9,10,10,25,"Autocorrelation"
4.75,0.014,0.016,10,9,10,10,25,"Autocorrelation"
5,0.008,0.01,10,9,10,10,25,"Autocorrelation"
5.25,0.006,0.006,10,9,10,10,25,"Autocorrelation"
5.5,0.006,0.004,10,9,10,10,25,"Autocorrelation"
5.75,0.006,0.002,10,9,10,10,25,"Autocorrelation"
6,0.006,0.002,10,9,10,10,25,"Autocorrelation"
0.25,0.918,0.734,4,18,10,10,25,"Autocorrelation"
0.5,0.898,0.672,4,18,10,10,25,"Autocorrelation"
0.75,0.876,0.596,4,18,10,10,25,"Autocorrelation"
1,0.816,0.516,4,18,10,10,25,"Autocorrelation"
1.25,0.752,0.422,4,18,10,10,25,"Autocorrelation"
1.5,0.698,0.356,4,18,10,10,25,"Autocorrelation"
1.75,0.624,0.276,4,18,10,10,25,"Autocorrelation"
2,0.534,0.218,4,18,10,10,25,"Autocorrelation"
2.25,0.474,0.164,4,18,10,10,25,"Autocorrelation"
2.5,0.428,0.136,4,18,10,10,25,"Autocorrelation"
2.75,0.374,0.104,4,18,10,10,25,"Autocorrelation"
3,0.322,0.088,4,18,10,10,25,"Autocorrelation"
3.25,0.254,0.068,4,18,10,10,25,"Autocorrelation"
3.5,0.216,0.048,4,18,10,10,25,"Autocorrelation"
3.75,0.18,0.036,4,18,10,10,25,"Autocorrelation"
4,0.154,0.036,4,18,10,10,25,"Autocorrelation"
4.25,0.132,0.028,4,18,10,10,25,"Autocorrelation"
4.5,0.11,0.016,4,18,10,10,25,"Autocorrelation"
